
================================================================================
🔍 各フォント内部 CMap 汚染明細（逆引き検証）
================================================================================
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
🚨 汚染検出 フォント [ID: 4] (名前: AAAAAA+Meiryo) [ToUnicode ID: 272]
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  [▼ 🔴 康煕部首へのマッピング (U+2F00～)]
     CID: <1177> -> Uni: <2F60> (⽠) 💡 (相当する統合漢字: 瓜 <74DC>)
     CID: <12A8> -> Uni: <2FCD> (⿍) 💡 (相当する統合漢字: 鼎 <9F0E>)
     CID: <12CD> -> Uni: <2F18> (⼘) 💡 (相当する統合漢字: 卜 <535C>)
     CID: <1337> -> Uni: <2FCF> (⿏) 💡 (相当する統合漢字: 鼠 <9F20>)
     CID: <1350> -> Uni: <2F66> (⽦) 💡 (相当する統合漢字: 疋 <758B>)
     CID: <13B5> -> Uni: <2F7D> (⽽) 💡 (相当する統合漢字: 而 <800C>)
     CID: <140C> -> Uni: <2FA3> (⾣) 💡 (相当する統合漢字: 酉 <9149>)
     CID: <147B> -> Uni: <2F72> (⽲) 💡 (相当する統合漢字: 禾 <79BE>)
     CID: <14A0> -> Uni: <2F89> (⾉) 💡 (相当する統合漢字: 艮 <826E>)
     CID: <14C5> -> Uni: <2FA4> (⾤) 💡 (相当する統合漢字: 釆 <91C6>)
     CID: <14ED> -> Uni: <2FC9> (⿉) 💡 (相当する統合漢字: 黍 <9ECD>)
     CID: <14EE> -> Uni: <2F44> (⽄) 💡 (相当する統合漢字: 斤 <65A4>)
     CID: <1543> -> Uni: <2F02> (⼂) 💡 (相当する統合漢字: 丶 <4E36>)
     CID: <1545> -> Uni: <2F03> (⼃) 💡 (相当する統合漢字: 丿 <4E3F>)
     CID: <154A> -> Uni: <2F05> (⼅) 💡 (相当する統合漢字: 亅 <4E85>)
     CID: <1552> -> Uni: <2F07> (⼇) 💡 (相当する統合漢字: 亠 <4EA0>)
     CID: <15B4> -> Uni: <2F09> (⼉) 💡 (相当する統合漢字: 儿 <513F>)
     CID: <15BF> -> Uni: <2F0C> (⼌) 💡 (相当する統合漢字: 冂 <5182>)
     CID: <15C7> -> Uni: <2F0D> (⼍) 💡 (相当する統合漢字: 冖 <5196>)
     CID: <15CD> -> Uni: <2F0E> (⼎) 💡 (相当する統合漢字: 冫 <51AB>)
     CID: <15D7> -> Uni: <2F0F> (⼏) 💡 (相当する統合漢字: 几 <51E0>)
     CID: <15DC> -> Uni: <2F10> (⼐) 💡 (相当する統合漢字: 凵 <51F5>)
     CID: <160A> -> Uni: <2F13> (⼓) 💡 (相当する統合漢字: 勹 <52F9>)
     CID: <1617> -> Uni: <2F16> (⼖) 💡 (相当する統合漢字: 匸 <5338>)
     CID: <1620> -> Uni: <2F19> (⼙) 💡 (相当する統合漢字: 卩 <5369>)
     CID: <1625> -> Uni: <2F1A> (⼚) 💡 (相当する統合漢字: 厂 <5382>)
     CID: <162C> -> Uni: <2F1B> (⼛) 💡 (相当する統合漢字: 厶 <53B6>)
     CID: <16AF> -> Uni: <2F1E> (⼞) 💡 (相当する統合漢字: 囗 <56D7>)
     CID: <1752> -> Uni: <2F27> (⼧) 💡 (相当する統合漢字: 宀 <5B80>)
     CID: <176C> -> Uni: <2F2B> (⼫) 💡 (相当する統合漢字: 尸 <5C38>)
     CID: <1776> -> Uni: <2F2C> (⼬) 💡 (相当する統合漢字: 屮 <5C6E>)
     CID: <17B0> -> Uni: <2F2E> (⼮) 💡 (相当する統合漢字: 巛 <5DDB>)
     CID: <17C9> -> Uni: <2F34> (⼴) 💡 (相当する統合漢字: 广 <5E7F>)
     CID: <17DD> -> Uni: <2F35> (⼵) 💡 (相当する統合漢字: 廴 <5EF4>)
     CID: <17DF> -> Uni: <2F36> (⼶) 💡 (相当する統合漢字: 廾 <5EFE>)
     CID: <17E4> -> Uni: <2F37> (⼷) 💡 (相当する統合漢字: 弋 <5F0B>)
     CID: <17F3> -> Uni: <2F3A> (⼺) 💡 (相当する統合漢字: 彡 <5F61>)
     CID: <17F5> -> Uni: <2F3B> (⼻) 💡 (相当する統合漢字: 彳 <5F73>)
     CID: <1886> -> Uni: <2F3D> (⼽) 💡 (相当する統合漢字: 戈 <6208>)
     CID: <1906> -> Uni: <2F41> (⽁) 💡 (相当する統合漢字: 攴 <6534>)
     CID: <1924> -> Uni: <2F46> (⽆) 💡 (相当する統合漢字: 无 <65E0>)
     CID: <1950> -> Uni: <2F48> (⽈) 💡 (相当する統合漢字: 曰 <66F0>)
     CID: <1A29> -> Uni: <2F4D> (⽍) 💡 (相当する統合漢字: 歹 <6B79>)
     CID: <1A38> -> Uni: <2F4E> (⽎) 💡 (相当する統合漢字: 殳 <6BB3>)
     CID: <1A3C> -> Uni: <2F4F> (⽏) 💡 (相当する統合漢字: 毋 <6BCB>)
     CID: <1A46> -> Uni: <2F53> (⽓) 💡 (相当する統合漢字: 气 <6C14>)
     CID: <1B28> -> Uni: <2F58> (⽘) 💡 (相当する統合漢字: 爻 <723B>)
     CID: <1B2A> -> Uni: <2F59> (⽙) 💡 (相当する統合漢字: 爿 <723F>)
     CID: <1BDB> -> Uni: <2F68> (⽨) 💡 (相当する統合漢字: 癶 <7676>)
     CID: <1D57> -> Uni: <2F79> (⽹) 💡 (相当する統合漢字: 网 <7F51>)
     CID: <1D81> -> Uni: <2F7E> (⽾) 💡 (相当する統合漢字: 耒 <8012>)
     CID: <1D97> -> Uni: <2F80> (⾀) 💡 (相当する統合漢字: 聿 <807F>)
     CID: <1DF6> -> Uni: <2F8B> (⾋) 💡 (相当する統合漢字: 艸 <8278>)
     CID: <1E93> -> Uni: <2F8C> (⾌) 💡 (相当する統合漢字: 虍 <864D>)
     CID: <1F2F> -> Uni: <2F91> (⾑) 💡 (相当する統合漢字: 襾 <897E>)
     CID: <1F9A> -> Uni: <2F97> (⾗) 💡 (相当する統合漢字: 豕 <8C55>)
     CID: <1F9D> -> Uni: <2F98> (⾘) 💡 (相当する統合漢字: 豸 <8C78>)
     CID: <210D> -> Uni: <2FAA> (⾪) 💡 (相当する統合漢字: 隶 <96B6>)
     CID: <210F> -> Uni: <2FAB> (⾫) 💡 (相当する統合漢字: 隹 <96B9>)
     CID: <2147> -> Uni: <2FB1> (⾱) 💡 (相当する統合漢字: 韋 <97CB>)
     CID: <2149> -> Uni: <2FB2> (⾲) 💡 (相当する統合漢字: 韭 <97ED>)
     CID: <21B0> -> Uni: <2FBD> (⾽) 💡 (相当する統合漢字: 髟 <9ADF>)
     CID: <21C1> -> Uni: <2FBE> (⾾) 💡 (相当する統合漢字: 鬥 <9B25>)
     CID: <223A> -> Uni: <2FC4> (⿄) 💡 (相当する統合漢字: 鹵 <9E75>)
     CID: <2245> -> Uni: <2FC6> (⿆) 💡 (相当する統合漢字: 麥 <9EA5>)
     CID: <225A> -> Uni: <2FCB> (⿋) 💡 (相当する統合漢字: 黹 <9EF9>)
     CID: <225D> -> Uni: <2FCC> (⿌) 💡 (相当する統合漢字: 黽 <9EFD>)
     CID: <2461> -> Uni: <2F5B> (⽛) 💡 (相当する統合漢字: 牙 <7259>)
     CID: <25F7> -> Uni: <2F01> (⼁) 💡 (相当する統合漢字: 丨 <4E28>)
     CID: <378B> -> Uni: <2FC8> (⿈) 💡 (相当する統合漢字: 黃 <9EC3>)
     CID: <3D80> -> Uni: <2F67> (⽧) 💡 (相当する統合漢字: 疒 <7592>)
     CID: <3DC1> -> Uni: <2F71> (⽱) 💡 (相当する統合漢字: 禸 <79B8>)
     CID: <3ECF> -> Uni: <2FA1> (⾡) 💡 (相当する統合漢字: 辵 <8FB5>)
  [▼ 🟡 CJK部首補助へのマッピング (U+2E80～)]
     CID: <09B6> -> Uni: <2ED1> (⻑) 💡 (相当する統合漢字: 長 <9577>)
     CID: <09DC> -> Uni: <2EA0> (⺠) 💡 (相当する統合漢字: 民 <6C11>)
     CID: <0A27> -> Uni: <2EC4> (⻄) 💡 (相当する統合漢字: 西 <897F>)
     CID: <0B92> -> Uni: <2ED8> (⻘) 💡 (相当する統合漢字: 青 <9752>)
     CID: <0C9F> -> Uni: <2E9F> (⺟) 💡 (相当する統合漢字: 母 <6BCD>)
     CID: <0E19> -> Uni: <2EF2> (⻲) 💡 (相当する統合漢字: 亀 <4E80>)
     CID: <0E1C> -> Uni: <2EEB> (⻫) 💡 (相当する統合漢字: 斉 <6589>)
     CID: <0E93> -> Uni: <2EED> (⻭) 💡 (相当する統合漢字: 歯 <6B6F>)
     CID: <0EC4> -> Uni: <2EEF> (⻯) 💡 (相当する統合漢字: 竜 <7ADC>)
     CID: <0EC9> -> Uni: <2EE9> (⻩) 💡 (相当する統合漢字: 黄 <9EC4>)
     CID: <0FAD> -> Uni: <2EE4> (⻤) 💡 (相当する統合漢字: 鬼 <9B3C>)
     CID: <103A> -> Uni: <2EE8> (⻨) 💡 (相当する統合漢字: 麦 <9EA6>)
     CID: <1078> -> Uni: <2E92> (⺒) 💡 (相当する統合漢字: 巳 <5DF3>)
     CID: <108A> -> Uni: <2EC1> (⻁) 💡 (相当する統合漢字: 虎 <864E>)
     CID: <15B5> -> Uni: <2E8E> (⺎) 💡 (相当する統合漢字: 兀 <5140>)
     CID: <176A> -> Uni: <2E90> (⺐) 💡 (相当する統合漢字: 尢 <5C22>)
     CID: <17C7> -> Uni: <2E93> (⺓) 💡 (相当する統合漢字: 幺 <5E7A>)
     CID: <17EF> -> Uni: <2E94> (⺔) 💡 (相当する統合漢字: 彑 <5F51>)
     CID: <1907> -> Uni: <2E99> (⺙) 💡 (相当する統合漢字: 攵 <6535>)
     CID: <1925> -> Uni: <2E9B> (⺛) 💡 (相当する統合漢字: 旡 <65E1>)
     CID: <38CE> -> Uni: <2EBD> (⺽) 💡 (相当する統合漢字: 𦥑 <26951>)
     CID: <3998> -> Uni: <2EDF> (⻟) 💡 (相当する統合漢字: 飠 <98E0>)
     CID: <3999> -> Uni: <2EDE> (⻞) 💡 (相当する統合漢字: 𩙿 <2967F>)
     CID: <399C> -> Uni: <2E97> (⺗) 💡 (相当する統合漢字: 心 <5FC3>)
     CID: <39A0> -> Uni: <2E85> (⺅) 💡 (相当する統合漢字: 亻 <4EBB>)
     CID: <39AE> -> Uni: <2EC3> (⻃) 💡 (相当する統合漢字: 覀 <8980>)
     CID: <39CA> -> Uni: <2ECA> (⻊) 💡 (相当する統合漢字: 𧾷 <27FB7>)
     CID: <3A2B> -> Uni: <2EAA> (⺪) 💡 (相当する統合漢字: 𤴔 <24D14>)
     CID: <3A93> -> Uni: <2EB9> (⺹) 💡 (相当する統合漢字: 耂 <8002>)
     CID: <3A99> -> Uni: <2E87> (⺇) 💡 (相当する統合漢字: 𠘨 <20628>)
     CID: <3ACD> -> Uni: <2EA6> (⺦) 💡 (相当する統合漢字: 丬 <4E2C>)
