
================================================================================
🔍 各フォント内部 CMap 汚染明細（逆引き検証）
================================================================================
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
🚨 汚染検出 フォント [ID: 4] (名前: AAAAAA+IPAexGothic) [ToUnicode ID: 266]
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  [▼ 🔴 康煕部首へのマッピング (U+2F00～)]
     CID: <0E09> -> Uni: <2FA8> (⾨) 💡 (相当する統合漢字: 門 <9580>)
     CID: <0E12> -> Uni: <2F6E> (⽮) 💡 (相当する統合漢字: 矢 <77E2>)
     CID: <0E38> -> Uni: <2FA2> (⾢) 💡 (相当する統合漢字: 邑 <9091>)
     CID: <0E3C> -> Uni: <2F23> (⼣) 💡 (相当する統合漢字: 夕 <5915>)
     CID: <0E51> -> Uni: <2F64> (⽤) 💡 (相当する統合漢字: 用 <7528>)
     CID: <0E53> -> Uni: <2F7A> (⽺) 💡 (相当する統合漢字: 羊 <7F8A>)
     CID: <0E82> -> Uni: <2FA5> (⾥) 💡 (相当する統合漢字: 里 <91CC>)
     CID: <0E87> -> Uni: <2F74> (⽴) 💡 (相当する統合漢字: 立 <7ACB>)
     CID: <0E94> -> Uni: <2FD3> (⿓) 💡 (相当する統合漢字: 龍 <9F8D>)
     CID: <0EAD> -> Uni: <2F12> (⼒) 💡 (相当する統合漢字: 力 <529B>)
     CID: <0EF3> -> Uni: <2F7C> (⽼) 💡 (相当する統合漢字: 老 <8001>)
     CID: <0F15> -> Uni: <2F02> (⼂) 💡 (相当する統合漢字: 丶 <4E36>)
     CID: <0F17> -> Uni: <2F03> (⼃) 💡 (相当する統合漢字: 丿 <4E3F>)
     CID: <0F1C> -> Uni: <2F05> (⼅) 💡 (相当する統合漢字: 亅 <4E85>)
     CID: <0F24> -> Uni: <2F07> (⼇) 💡 (相当する統合漢字: 亠 <4EA0>)
     CID: <0F86> -> Uni: <2F09> (⼉) 💡 (相当する統合漢字: 儿 <513F>)
     CID: <0F91> -> Uni: <2F0C> (⼌) 💡 (相当する統合漢字: 冂 <5182>)
     CID: <0F99> -> Uni: <2F0D> (⼍) 💡 (相当する統合漢字: 冖 <5196>)
     CID: <0F9F> -> Uni: <2F0E> (⼎) 💡 (相当する統合漢字: 冫 <51AB>)
     CID: <0FA9> -> Uni: <2F0F> (⼏) 💡 (相当する統合漢字: 几 <51E0>)
     CID: <0FAE> -> Uni: <2F10> (⼐) 💡 (相当する統合漢字: 凵 <51F5>)
     CID: <0FDC> -> Uni: <2F13> (⼓) 💡 (相当する統合漢字: 勹 <52F9>)
     CID: <0FE9> -> Uni: <2F16> (⼖) 💡 (相当する統合漢字: 匸 <5338>)
     CID: <0FF2> -> Uni: <2F19> (⼙) 💡 (相当する統合漢字: 卩 <5369>)
     CID: <0FF7> -> Uni: <2F1A> (⼚) 💡 (相当する統合漢字: 厂 <5382>)
     CID: <0FFE> -> Uni: <2F1B> (⼛) 💡 (相当する統合漢字: 厶 <53B6>)
     CID: <1081> -> Uni: <2F1E> (⼞) 💡 (相当する統合漢字: 囗 <56D7>)
     CID: <1124> -> Uni: <2F27> (⼧) 💡 (相当する統合漢字: 宀 <5B80>)
     CID: <113E> -> Uni: <2F2B> (⼫) 💡 (相当する統合漢字: 尸 <5C38>)
     CID: <1148> -> Uni: <2F2C> (⼬) 💡 (相当する統合漢字: 屮 <5C6E>)
     CID: <1182> -> Uni: <2F2E> (⼮) 💡 (相当する統合漢字: 巛 <5DDB>)
     CID: <119B> -> Uni: <2F34> (⼴) 💡 (相当する統合漢字: 广 <5E7F>)
     CID: <11AF> -> Uni: <2F35> (⼵) 💡 (相当する統合漢字: 廴 <5EF4>)
     CID: <11B1> -> Uni: <2F36> (⼶) 💡 (相当する統合漢字: 廾 <5EFE>)
     CID: <11B6> -> Uni: <2F37> (⼷) 💡 (相当する統合漢字: 弋 <5F0B>)
     CID: <11C5> -> Uni: <2F3A> (⼺) 💡 (相当する統合漢字: 彡 <5F61>)
     CID: <11C7> -> Uni: <2F3B> (⼻) 💡 (相当する統合漢字: 彳 <5F73>)
     CID: <1258> -> Uni: <2F3D> (⼽) 💡 (相当する統合漢字: 戈 <6208>)
     CID: <12D8> -> Uni: <2F41> (⽁) 💡 (相当する統合漢字: 攴 <6534>)
     CID: <12F6> -> Uni: <2F46> (⽆) 💡 (相当する統合漢字: 无 <65E0>)
     CID: <1322> -> Uni: <2F48> (⽈) 💡 (相当する統合漢字: 曰 <66F0>)
     CID: <13FB> -> Uni: <2F4D> (⽍) 💡 (相当する統合漢字: 歹 <6B79>)
     CID: <140A> -> Uni: <2F4E> (⽎) 💡 (相当する統合漢字: 殳 <6BB3>)
     CID: <140E> -> Uni: <2F4F> (⽏) 💡 (相当する統合漢字: 毋 <6BCB>)
     CID: <1418> -> Uni: <2F53> (⽓) 💡 (相当する統合漢字: 气 <6C14>)
     CID: <14FA> -> Uni: <2F58> (⽘) 💡 (相当する統合漢字: 爻 <723B>)
     CID: <14FC> -> Uni: <2F59> (⽙) 💡 (相当する統合漢字: 爿 <723F>)
     CID: <15AD> -> Uni: <2F68> (⽨) 💡 (相当する統合漢字: 癶 <7676>)
     CID: <1729> -> Uni: <2F79> (⽹) 💡 (相当する統合漢字: 网 <7F51>)
