
================================================================================
🔍 各フォント内部 CMap 汚染明細（逆引き検証）
================================================================================
✨ 清潔フォント [ID: 5] (名前: BAAAAA+Meiryo) ── 汚染なし
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
🚨 汚染検出 フォント [ID: 4] (名前: AAAAAA+SourceHanSerif-Medium) [ToUnicode ID: 270]
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  [▼ 🟡 CJK部首補助へのマッピング (U+2E80～)]
     CID: <2ED1> -> Uni: <2ED5> (⻕) 💡 (相当する統合漢字: 𨸏 <28E0F>)
     CID: <2EE6> -> Uni: <2EE7> (⻧) 💡 (相当する統合漢字: 卤 <5364>)
  [▼ 🔴 康煕部首へのマッピング (U+2F00～)]
     CID: <251E> -> Uni: <2F00> (⼀) 💡 (相当する統合漢字: 一 <4E00>)
     CID: <2554> -> Uni: <2F01> (⼁) 💡 (相当する統合漢字: 丨 <4E28>)
     CID: <2567> -> Uni: <2F02> (⼂) 💡 (相当する統合漢字: 丶 <4E36>)
     CID: <2572> -> Uni: <2F03> (⼃) 💡 (相当する統合漢字: 丿 <4E3F>)
     CID: <259A> -> Uni: <2F04> (⼄) 💡 (相当する統合漢字: 乙 <4E59>)
     CID: <25D6> -> Uni: <2F05> (⼅) 💡 (相当する統合漢字: 亅 <4E85>)
     CID: <25DD> -> Uni: <2F06> (⼆) 💡 (相当する統合漢字: 二 <4E8C>)
     CID: <25FC> -> Uni: <2F07> (⼇) 💡 (相当する統合漢字: 亠 <4EA0>)
     CID: <262D> -> Uni: <2F08> (⼈) 💡 (相当する統合漢字: 人 <4EBA>)
     CID: <2A60> -> Uni: <2F09> (⼉) 💡 (相当する統合漢字: 儿 <513F>)
     CID: <2A9C> -> Uni: <2F0A> (⼊) 💡 (相当する統合漢字: 入 <5165>)
     CID: <2AA7> -> Uni: <2F0B> (⼋) 💡 (相当する統合漢字: 八 <516B>)
     CID: <2ACD> -> Uni: <2F0C> (⼌) 💡 (相当する統合漢字: 冂 <5182>)
     CID: <2AE8> -> Uni: <2F0D> (⼍) 💡 (相当する統合漢字: 冖 <5196>)
     CID: <2B07> -> Uni: <2F0E> (⼎) 💡 (相当する統合漢字: 冫 <51AB>)
     CID: <2B60> -> Uni: <2F0F> (⼏) 💡 (相当する統合漢字: 几 <51E0>)
     CID: <2B78> -> Uni: <2F10> (⼐) 💡 (相当する統合漢字: 凵 <51F5>)
     CID: <2B8B> -> Uni: <2F11> (⼑) 💡 (相当する統合漢字: 刀 <5200>)
     CID: <2C87> -> Uni: <2F12> (⼒) 💡 (相当する統合漢字: 力 <529B>)
     CID: <2D1B> -> Uni: <2F13> (⼓) 💡 (相当する統合漢字: 勹 <52F9>)
     CID: <2D48> -> Uni: <2F14> (⼔) 💡 (相当する統合漢字: 匕 <5315>)
